listing_id,comments
346,"Ana’s place is clean and cozy, the apartment’s location is great as well as the amenities. Great experience, would totally recommend; Ana’s place was amazing! I stayed in Fort Lauderdale for a few months for work and she was incredibly hospitable. If I ever needed anything she was quick to help out. The place was perfect for myself and a great location to be able to walk to restaurant; Ana’s place was exactly as described and in the perfect location to travel to many different beaches or stay right there. It was spotless and all amenities needed. We had a wonderful time and would definitely stay there again since our stay was cut sho; Anchalee and Gopal were the consummate hosts. They made you feel very comfortable and relaxed. Our privacy was always respected. Their two children were absolutely adorable. The suite was just as described. Private and comfortable. The neighborhood was sa; Anchalee and her husband made us feel very welcome. The guest house was so cute and perfect for our visit. It was nicely decorated, clean and had everything we needed. They even provided breakfast. We would definitely stay there again.; Anchalee was a perfect hostess. The place is in a beautiful gated community. We felt like we had the whole place to ourselves. The pool was wonderful and our whole time there was very relaxing. I couldn't recommend it enough.; Anchalee, Copal and their two little girls are just an incredible family and they made me feel like if I was just home; she's very detail oriented and from the nice written welcome card including some munchies and fruit, to the spotless room with the ind"
347,"Anchalee's home is beautiful, clean and inviting. The room is lovely decorated and in great shape. Her family is welcoming and warm. We were greeted with smiles and treats. She is a very courteous guest. I loved the location and the fact that there was a; Anchalee's place was in a nice, quiet location. If you are looking for a place to relax, this is the perfect place for that. Lovely pool and hot tub. All the main shops are close by car. Good communication. Great tips for eating out.; And awesome city in an incredible place!; Andi and her family are lovely people, and their location was conveniently located directly behind my school’s campus, which made it easy for me to get extra studying and sleep done while there. Not very large, but big enough for the traveler with a pur; Andi is a great host, she made sure we had all the information we needed ahead of time for check in, which made the check in process so simple and easy. We loved this little spot, the fish pond leading into our room was super cool. Loved how this spot was; Andi place have all you need is really cozy and nice place to stay. Andi was fast response. Just what I need for a last minute trip. Thanks; Andi was an excellent host !!!! I don’t have no complaints about this place everything was great"
348,"Andi was super fast at responding and her space was amazing. We truly enjoyed our stay. We will stay again if we are back in the area.; Andi's place is a wonderful option for those looking for convenience and a place to stay on a budget. My boyfriend and I enjoyed our stay, and loved having access to the pool and hot tub. After a week, we found the futon to get a bit rough on our backs, b; Andi's place is in a nice quiet residential neighborhood very conveniently located to the Fort Lauderdale Executive Airport. There's parking in the driveway and it's got a private entrance. We liked the self check in. Everything was clean & comfortable; Andi's place was exactly as pictured. It was extremely clean and well stacked up. I carried a lot of extra supplies such as towels and sheets just to find that these were already being provided at Andi's place. I really loved the kind gestures like the"
349,"Andi's place was excellent! Very cozy and comfortable, easy to find, and the private outdoor space was perfect for relaxing and rejuvenating. The pool is amazing, and we thoroughly enjoyed our time there!; Andi’s place was a cute beach bungalow. The pull out couch and air mattress were quiet comfy. Me and 2 friends stayed and we had a great time. Would recommend.; Andi’s place was exactly as mentioned! This room was identical to the pics and description. The backyard was nice a touch with its beachy theme, pool and hot tub, that was available for us anytime. There was even a pet turtle roaming around the backyard; Andrea and her family made us feel welcome during our stay. The place was clean, welcoming, and most importantly, comfortable. This was our first Airbnb experience and it won't be our last! We stayed one night only but on our next trip to Fort Lauderdal; Andrea and Jason were absolutely fantastic! Not only was their space was clean and relaxing, but they also went out of their way to leave us a sweet congratulatory gift to celebrate our wedding. They were extremely kind and helpful, communicating regularl; Andrea and Jason were absolutely the ideal hosts. So nice and helpful with everything and their place is wonderful! Thanks!; Andrea and Jason were excellent hosts, first time air bnb and I couldn’t be happier. Thank you so much! Highly recommended. Also, people complained about rocks in the shower... I was very comfortable and they felt great on my foot. The fan is no longer"
350,"Andrea and Jason were wonderful hosts. They made us feel comfortable in their home. We had our own private area and patio where we were able to come and go. The room was very nice and the futon was extremely comfortable! The Hot tub was open to our use an; Andrea is a great host. She is extremely friendly and tries hard to ensure that you have all the information necessary to ensure a peaceful stay. The room and bathroom were very clean and comfortable. Definitely recommend.; Andrea is super sweet and giving. The room was very comfy and well air conditioned. Her kids are so adorable, and although we didn't have time to swim the pool looked amazing.; Andrea place was the excellent! From the location to the excellent modern finishes in the apartment! Can’t wait to come back again!"
351,"Andrea was a fantastic host. She was very flexible with an early check in, as we were arriving in the morning. The apartment was immaculate, beautiful, comfortable and perfect for me. Nice location 10-15 minutes drive from the beach (Uber charged only $; Andrea was a great host. Everything we needed was at our fingertips! We needed to borrow an iron and she brought it to us within a few seconds! The pool looked nice. I wish we would have had time for a swim. We had our own entrance and ample space.Thank; Andrea was fantastic to work with. Very quick to respond to questions and the room was neat and tidy.; Andrea was very accomodating. The private entrance was great. Quiet neighborhood and the air conditioning was great for the hot summer months. Thanks for the comfort.; Andrea was very responsive and accommodating to my traveling needs! I had a great stay!; Andrea was very welcoming. Had a mini fridge for food. Answered emails very quickly. Had lists of things to do in the area. The place was very clean. Located within in easy access to 95 as well as less than 15 minutes to the beach. 10 if no traffic. The b; Andrea's place is just as she says, """"a piece of paradise."""" The beach theme walking up to the house and all around would easily fool you in thinking you were in a picturesque beach house overlooking the ocean. The pool is very beautiful and relaxing. I on"
352,"Andrea's place is wonderful!! The room was so clean and the bed was the most comfortable bed!! I truly enjoyed my stay!!; Andrea's place was comfy and cozy and perfect for our one night stay. It was clean and she was quick to respond when we had questions before we arrived. Thumbs up! :); Andrea’s place was great. Clean, good sized closet, your own private bathroom, friendly. The only downside is having to enter through the neighborhoods main gate each time, which can take up to 15 minutes to get through during busy times. Overall, good; Andreas place was amazing. Although I didn't get to use their pool, that's a great option. Great clean space! I would definitely stay here again!; Andreas place was great. It was very private and clean. It was a perfect place to get away for some peace and quiet. Great value for money.; Andreas place was very clean and quiet. She is super friendly. The best:-*; Andrew emailed a PDF in advance of details, what to expect and how to get in touch if we needed anything. Everything was well organized which made our trip enjoyable and relaxing. The room was amazing and the view from the balcony was breathtaking. The"
353,"Andrew is unresponsive we booked 5 days with being on disabled vet budget. Covid-19 pandemic outbreak caused the florida governor to refuse people come in to florida n club fit refused us. But andrew kept our money. Air bnb would not help they also kept t; Andrew made us feel very welcome at this particular location. The place was bigger than anticipated, and the view was 100x better than what the pictures show! The neighborhood was a typical Fort Lauderdale neighborhood, and the minute you stepped foot on; Andrew was a great and responsive host. Any time I needed to contact him he was there to answer. He is a reliable and caring host, which I think is so important when you are dealing with strangers! I would book with Andrew again in the future.; Andrew was a great host and the view was priceless!!! The room was nice except for the kitchen utensils that were dirty including the drawers and in the bathroom there were a lot of used products. Also, the closet was a bit messy but overall we had a grea; Andrew was a great host and very responsive to our needs. We stayed in a unit of his last year, also, and it seems as though the hotel has changed the way they do things. He was very helpful getting everything straightened out.; Andrew was a great host. We loved the apartment. Will definitely recomended.; Andrew was a wonderful host and opened the entire house up to us, even some of the food he cooked a night before! He was prompt and on time, and showed us around the entire complex. The pool and jacuzzi are amazing, and it even has a fitness center. We we"
354,"Andrew was an amazing host to us, we had absolutely no problems. He also was inclined to help in anyway he possibly could to make our experience better. The place is a 5 min drive to downtown Ft. Lauderdale and 10 min drive to the beach, so thats a big pl"
355,"Andrew was quick to respond when I had a couple minor issues. The biggest being the paid parking. The Hilton this unit is in has parking via valet only and the nightly parking fee was quite high and I only wish I had been made aware of this prior to check; Andrew was very helpful before and upon arrival, very communicative showed everything from entering the building to garage entrance. The place is great, quiet, clean and very cozy. I would definitely recommend and would stay again!; Andrew was very helpful throughout the vacation. He offered us a cheaper option for the parking rather than the valet parking. Also the place was beautiful and clean. We had a great trip! Thanks Andrew; Andrew's condo is just as he described it and more. Homey, clean and conveniently located. It had everything my husband and I needed for a relaxing Xmas getaway in Hollywood and Miami."
356,"Andrew's condo is perfect ! Beautiful, clean, great amenities, and just an incredible view from the balcony ! We really appreciated the quick responses to questions also. Would love to stay again at this lovely condo. Thank you so much Andrew !!; Andrew's place had a perfect spot next to the beach with awesome view towards the ocean. Beach is on the other side of the street and restaurants are within distance. Highly recommended and would come back anytime!; Andrew's place is absolutely stunning. The view from the 19th floor was out of this world and having a small kitchen area meant we had breakfast with that wonderful view every morning of our stay. The location of the hotel is ideal for the beach and just; Andrew's place was beautiful, we enjoyed our stay. The room has everything you need and a breathtaking view. The location is great, across the street from the beach and a lot of restaurants are walking distance from the Hilton.Andrew was really helpful a; Andrew's place was great. The apartment was clean and with everything needed. Andrew was very polite and welcoming. We definitely hope to rent again from him next year.; Andrew’s place was awesome! Waking up to that view every morning was incredible. We had such an awesome time hanging by the pool, relaxing on the beach, and checking out the local restaurants/bars!! The room was exactly as expected, everything was clean; Andrew’s place was great. The view is amazing and it is so close to everything. We parked at the Aqua hotel behind based on his suggestion and it was perfect only $20."
357,"Andrew’s place was stunning! The location was phenomenal and the place was beautiful and clean. We were able to walk to the beach and bars, highly recommend!; Andrews place is in a fantastic location on the beach! The beach chairs and cooler in the unit were a much appreciated touch. Andrew was also very responsive when we needed him. We highly recommend this private hotel unit!!!; Andrews place was awesome! Nice, clean, and private. Uber was available so that made getting around a lot easy, because nothing is within walking distance. Needless to say I enjoyed my stay at Andrews.; Andrews place was perfect! Location is ideal, cost is on par with hotels in the area (minus the resort fee). We used the fitness room during our stay and it met our needs. The weather did not permit use of pool/hot tub therefore cannot speak to that. Hote; Andy and Elisabeth were great hosts. The place was exactly as it was pictured. Even the pool man Tom was very insightful and kind. I would recommend this place to anyone. The location is perfect and not far from the airport.; Andy did a great job providing us with all the ins and outs of the neighborhood. The house is in a super convenient area with easy access to everyday needs as well as a short trip to surrounding areas and beaches. The house is lovely, plenty of room to sp; Andy house was great I really enjoyed my stay and would definitely stay again. The house was clean and spacious, and Andy always responded very quickly. The pool was nice , and the beach is a little walk away from the house. There was also fun things to d"
358,"Andy is a great guy. He gave me all the information about the area, guides and maps to move around. He even prepared his bike so he could go to the gym LA Fitness which is very close with a personal invitation. He also accompanied me in his car the next; Andy is a great host!!cozy, clean place, bed is comfortable! You will love the back porch!!! I will stay again; Andy IS a super host! He even did my laundry. I brought my electric skillet and was able to cook most everything. Super location and walkable to everything.; Andy is a wonderful host, my visit mainly for work. I would recommend his place and likely to come back again If available. Close to everything and feel safe to stay here.; Andy is amazing. From the beginning he and his business associate Elisabeth were accommodating and willing to go above and beyond to make our stay as seamless and enjoyable as possible. Their timeliness and attention to detail were first class, as well"
359,"Andy is an accomodation and friendly host. His place is well maintained and exactly as pictured. Very clean. Private entrance is a plus! Includes basic kitchenette - all you need because so many restaurants within walking distance. Perfect spot to explore; Andy is one of the best hosts I encountered so far. Communicative, Informative and a real pleasure to deal with. The room, patio and provided amenities are an excellent value. The patio adds so much. It made the space very special. Finally, the locatio; Andy is the consummate host, and this place could not be better located for your Wilton Manors stay. I gave it 4 stars only because it's not set up well for someone who needs to work from the room (it's a bit small for long stays and the internet is a bit; Andy is very helpful and knowledgable about the area. The space is clean and is exactly as advertised. It's a short 2 minute walk to both 5 corners and the nightlife of Wilton Manors. Andy is responsive to texts during your stay in the event you need a; Andy is very helpful and really fast in answering questions. The house we rented was amazing, clean, spacious, cozy and at a great location. Including all the possible amenities. We highly recommend Andy and his property to future customers.; Andy was a fantastic host! I needed a place to stay for a month and this was perfect. Close to lots of shops, bars, restaurants etc. Andy's place was clean and had everything I needed. He also went out of his way to make sure I was comfortable! Couldn't b; Andy was a good and trustworthy person - and we got a quick response to our questions. The house we rented was OK to stay for 2-3 days, but I would never rent it for a longer vacation (1-2 weeks). The garden and the pool was somewhat less than forvent"
360,
361,"Andy was a great host, and the location was fabulous for folks wanting to explore Wilton Drive. The outdoor space outside my door was really cozy. My only complaint was the gravel on the walking paths; it wasn't comfortable for a tenderfoot like me. High; Andy was a great host. Greeted me on my arrival. Room was just as it looked in the photos. Very clean and comfortable. Location wasexcellent. Walking distance to the restaurants and bars.; Andy was amazing and very friendly and welcoming when I arrived. Nice and clean place, and bed was comfortable. Well recommended to stay there. Thank you and would differently stay there again; Andy was extremely helpful throughout our stay. Our only issue was that the bed is a double rather than bunk beds (double and single) as shown in the photos. However Andy quickly provided a mattress for us to use.Quiet neighborhood with great views over; Andy was great at answering our questions quickly. For the most part it was a great home just smaller than what we expected. Also had issues with drainage in the guest bathroom tub which seemed a bit outdated. We couldn’t find anything to clean the floo; Andy was one of the best hosts I’ve had an experience with on Air BNB. Very professional and replied in a timely manor. The Villa is an absolute steal for the price and the pictures do not do it justice what so ever! Next time I’m in the Fort Lauderda; Andy was so nice!!! His guest suite was cute and cozy. My dog felt right at home, too. I would definitely recommend his place! I truly felt that if I needed anything, I could reach out to him. He went above and beyond to be flexible and meet my needs. I a"
362,
363,"Andy was super responsive and helpful. We had serval itinerary changes and Andy was super flexible. The place is also beautiful!; Andy's home is exactly as described - situated on a beautiful lagoon, one block from the beach. It was a great place to host a large gathering over multiple days, plenty of space and great common areas for sharing a meal. Andy was extremely responsive, he; Andy's home was amazing for our trip! The pool and hot tub were beautiful, and the home was spacious and perfect for a large group. The beach is just a minute away which made it easy to move back and forth from the house and beach daily. Andy was a very r"
364,Andy's home was beautiful everything was as described. The entire process went very smooth I would defitnely recommend this home.; Andy's home was perfect for our family. The backyard had just the right amount of shade and sun. The area was quiet and close to the places we typically frequent in Ft. Lauderdale. Thank you so much.
365,"Andy's house is exactly as described...beautiful and contemporary. And the backyard is like your own little tropical paradise. We had everything we needed to make our week-long vacation perfect!; Andy's house was a great spot for my friends and I to stay for our vacation! The location is really nice and close to the beach and the backyard area with the pool/deck feels very tropical and private. It's also just a short ride away from the downtown; Andy's house was great! The pool and backyard were awesome as well as the main living areas! It was the perfect setting for a great weekend!; Andy's place in Wilton Manors is great. He was very easy to communicate with and the space is nice and clean with a beautiful garden/sitting area in the back. The location is perfect. Just off Wilton Drive with an off-street parking spot and the ability t; Andy's place is amazing. It has everything one could possibly want. While you are located on top of Wilton Drive, and every hot spot in Wilton Manors is just a few minutes walk away, the room and patio feel like an island retreat with absolutely no noise.; Andy's place is as described. Very cozy and comfortable. Next time I visit this place will be at the top of my list to stay. Andy was an excellent host - very responsive and helpful. Would highly recommend this place.; Andy's place is awesome! Very convenient location, beautiful house, extremely comfortable and Andy his property management staff were extremely reliable and great with communication. Couldn't have asked for a better place to stay!"
366,"Andy's place was beautifully kept, a lovely place, well equipped, quite near the beach. Beds were incredibly comfortable, space was bright, sunny, very cheerful. Landscaping made for an intimate yard with pool, neighborhood was quiet and inviting."
367,Andy's property is exactly as advertised if not better. It was super clean when we got there and well organized in a quiet neighborhood that was still close to anything you might need. The pool is lovely and receives welcome shade in the afternoon. Commun
368,"Andy’s place is accurate to pictures. Good area.; Andy’s place is beautiful and well situated, close to grocery stores and shops. It is a short drive to the beach and downtown. It is very clean and modern. Beds are comfortable and pool is great and not deep which is perfect for kids. The only down thin; Andy’s place is great! Very convenient location. Highly recommend!"
369,"Andy’s place is in a great location, close to shops, dining , and beach , but you do need a car. The pool is amazing and the indoor space is very comfortable. The beds are super comfy. We would stay there again.; Andy’s place is located in the perfection location. It’s clean and I would stay again.; Andy’s place was awesome!!! Great hospitality and the location could not have been better. Will definitely stay there again.; Andy’s place was exactly as advertised. Small but cozy. And a stellar location at a great great price. The only issue I had was with the internet. His wireless was less than I needed for my work. However as with everything, Andy was right there and on t"
370,Andy’s place was great and conveniently located. He was super nice and I would stay again when in Wilton Manors.
371,"Angela solved all minor issues pretty fast and efficiently making our stay awesome.Nice play to stay with kids !; Angela was a pleasure to deal with. She was very responsive and made both our arrival and departure seamless. The unit is very nice---clean and bright, with a great direct view of the ocean from the master bedroom.; Angela was very friendly, and answered all of our questions promptly. The condo was very clean! The master bedroom has a full view of the beach! Would definitely stay here again."
372,"Anna has been a wonderful host. The apartment is better than shown in the pictures . It is a million dollars Ocean View !!!!; Annie has a beautiful home and was a great host. I'll be back in the future!; Annie has a great condo, right off the main road down the Florida coast. The place is beautiful, and perfectly set up for a comfortable stay. As a bonus, it has a fantastic view! Annie is great to work with, and addresses all questions promptly. Highly re; Annie has a great spot on the water with nice amenities!; Annie is a fantastic hostess and went to great lengths to make sure my girlfriend and I had a comfortable and pleasant stay. The neighborhood was very nice and her apartment has a homey feel to it that I've never gotten whilst staying at a hotel.The hou; Annie is a great host. I had a comfortable stay at her place.; Annie is a kind and curtiius hostess and allows you the privilege of a peaceful and trusting accommodation."
373,"Annie is a nice, kind person, and has a clean guestroom and bathroom right across the way from it, which are private from the rest of the apartment. She and her husband are quiet people and will leave you to yourself. It's a good place to stay for a quic; Annie is great host, very positive and nice person !! Her place is really nice, the room was spacious, very clean, with privet bathroom. We had everything we needed there, even more ! Thank you Annie ! We would definitely like to stay there again on our n; Annie is very nice . Her place was 1.6 miles from where I needed to be each day so it worked out well for me .; Annie was a great host although I didn't get to meet her she was quick to respond to all questions/emails.This place is right on the beach as promised. Hard wood floors through out with nice furnishings and decorations.The living room is attached the"
374,Annie was a great host and helped me out with getting to the apartment by coming outside and showing me where to park. The room was perfect for a one night stay!
375,"Annie was a great host and seems like a natural at this! Definitely recommend her place!; Annie was a great host. The room was very inviting and had everything you needed. I felt like I was staying in a hotel because she had plenty of towels and wash cloths. Great check in and out experience. The room was very clean and the bed was nice and co; Annie was a wonderful and gracious host. She made me feel welcome and right at home. The room was neat, clean and spacious. There is a connecting private bathroom with available toiletries. A washer and dryer was available for use. The kitchen area was sh; Annie was great from start to finish. I loved my stay!; Annie was very nice and helpful! She was there when we arrived and gave us the key. She also showed us the room and the bathroom which are on one side of the apartment across from her room. We did not get to spend too much time in the apartment, so were n; Annie was very pleasant and welcoming. The room is very well represented in the picture and the room and an adjacent bathroom have a door to close it away from the rest of the apartment together with a washer and dryer. About a mile away from I-95 in an e; Annie was very responsive and helpful. Place was comfortable. It was close to everywhere I had to go. Place had pool and gym, unfortunately did not find time to try them out. Great place!"
376,"Annie was very sweet. The apartment was located in a very nice community and it was close to a lot of food places and shops which was very convenient. We had a great stay!; Annie was very thorough sending all the details on what to do on arrival and enjoy the place. The apartment is simply beautiful, very comfortable and it has all the amenities you need. Truly a """"just bring your luggage"""" place. There are beach chair; Annie's apartment was near to my sister in Coconut Creek and is a 15 minute drive to the beach. Annie was timely with responding to texts during the two one-night stays I had before and after a 4 day family getaway. Off the main entry there is a privacy d"
377,"Annie's place was a very good stopover for 4 nights. The accommodations were comfortable and the location was convenient to shopping, dining and public transit. The extra benefits include a pool, jacuzzi, workout area, cable tv, laundry and private bath; Annie's place was perfect to stop by for one night. She made a lot of effort to provide us with everything we could possibly need.Thanks Annie!; Annika and Jack are great hosts with an amazing place.; Annika made was very easy to work with and she even made some accommodations for me that helped out a ton! Absolutely enjoyed the location. Quiet location with plenty of space.; Annika quickly referred me to Ted as the point of contact. He was easy to get in touch with, answered all my questions, and was very responsive. Overall, my family and friends had a wonderful time. The home was large and clean. Definitely use Uber and; Annika's place was perfect for our group.The house is very centrally located in a upscale neighborhood, numerous restaurants and shopping withing 3-4 minutes of driving. Highly recommended!; Another awesome trip to the beach, thanks Alenka!"
378,"Another awesome week with Bill! He's a great host!; Another fantastic stay with Bill!; Another great experience at Lorraine and Greg's house. The room is so very comfortable, the bed just right, the complementary beverages and coffee so thoughtful, the shower spacious, and the hosts the most friendly Airbnb hosts we've encountered. Just lik; Another great experience at Susan's home. I highly recommend staying here.; Another great experience with Lorraine and Greg, our other Florida family. They are soooo welcoming and friendly, even though one of us had a cold. But Pam went swimming in the pool and spent some good time in conversation. Loved the improvements to the r; Another great experience with my Florida """"family,"""" which Lorraine and Greg have become. They are always so welcoming and friendly, giving us the space to come and go or stop and talk as we see fit. Always a welcoming cup of coffee in the morning and happy; Another great stay at Chris's place."
379,"Another great stay at Karen's place. As always the apartment is wonderfully clean and relaxing to stay in. Couldn't be made to feel more welcome or comfortable.; Another great stay at the Raazee residence.; Another great stay at the Sea Spray Inn, love this place and I'll definitely keep coming back! Location can't be beat, especially if you like to go car free like I do. The staff is super welcoming and helpful and the condo is clean and updated.; Another great stay at the tiny house. Would recommend to any single traveler, clean and safe. Pictures are just as it is; Another great stay at this cozy/comfortable bungalow. Excellent host, convenient location to Port EvergladesCruise Terminal, Wilton Manors, restaurants, shops, etc. Recommend place to stay; Another great stay at this fantastic property. Gabriel was a fantastic host. I can't wait to come back.; Another great stay in one of this hosts units. Al l3 I have been in now have been great. Thanks again Albert!"
380,"Another great stay with Allen, attention to detail is the best I've ever experienced in an Airbnb. Allen is a great host who made me feel at home and his place is amazing. I wouldn't want to stay anywhere else when in Fort Lauderdale. Thanks again Allen.; Another great stay with flexible and friendly hosts. We so enjoy their hospitality always making us feel welcome.; Another great stay with Greg and Lorraine. I travel for business. I always try to stay with them , my favorite airbnb.; Another great stay with Jim. The house is clean and tidy, very accommodating and great location. It's lovely to be able to meet new people from different walks of life at his Airbnb. Thanks Jim!; Another great stay with Lorraine and Greg. They are so welcoming and interesting as hosts - always lots to talk about and share. The room continues to get improvements even though it was already fine. Now there was a mini-fridge with wine and beer and as; Another great stay with Lorraine and Greg. They were, as usual, very flexible with our travel challenges and made us feel right at home. Great conversations, great welcome, great hosts!; Another great stay, 5 stars every time!"
381,"Another great stay!; Another great stay! Clean, spacious, and comfortable. I'll recommend a stay here over and over again!; Another great stay. Convenient location and private entrance a plus.; Another great stay. Great host. Great location. Great house.; Another great stay. Great host. Great location. Great house.; Another great stay. Thank you; Another great vacation! The house is ideally located, Deerfield Beach is a great city for families and there is literally everything around. Unbeatable place for families!"
382,"Another perfect stay! Super host!; Another pleasant stay at Jonathan's self-contained studio. The place was extremely clean and comfortable. Everything you could need in a room has been provided for. Thank you again.; Another pleasurable experience on airbnb. Deborah is a professional when it comes to hosting guests. She reached out to us in advance of our arrival to find out our food and drink preferences. Made sure that there was someone at the property to greet us u; Another wonderful stay at Susan's. I couldn't imagine staying anywhere else! I'd highly recommend staying here. Lovely host, fabulous room and bath, convenient location.; Another wonderful stay at the Cottage. Clean, convenient, and just steps to Las Olas and a 15 minute walk to beach. John's a fabulous and thoughtful host and even gave me a lift to my rental car agency!; Another wonderful stay with super hosts.My favorite stay when I'm in Fort Lauderdale on Business.; Anticipate irritating and time consuming check in process. Do not expect luxury accommodations. Rather a dated one bedroom condo with peeling paint and antique furnishings."
383,
384,"Anyone interested in renting this home...its ano brainer. Lived here for 7 days, and wish it could have been longer...; Anyone that is lucky enough to be able to stay with Mary will have a great time! :) She’s an outstanding host. She always made sure we had everything we needed and made us feel like we were home. Because of me and my boyfriend’s active schedules, ever; Anyone traveling to the Deerfield beach area should book here!! The condo was spotless, perfect location, has beach chairs & a beach umbrella, and is right down the street from food & drinks. My sister and I loved sitting on the porch everyday watching th; Anyone would be more than happy to be here in Joe's lovely cozy comfy beautiful home. We were extremely happy here. My husband and I are retired and my mom was with us. We are all delighted; Anything you need is there. Very safe neighborhood. I have never had a better vacation. All stores and plazas are within 5 minutes of location.; Apart from a door key problem upon arrival, which was quickly resolved, my stay at Wendy's was very enjoyable.Wendy helped me efficiently with my rented car, gave me plenty of practical informations.The room is as described and shown on the picture.I appr"
385,"Apart from some initial problems accessing the room, we were satisfied with Chris' place. It had everything we needed and was very clean. As we didn't have a car, getting to the shops and restaurants was a bit difficult, especially after dark. However, th; Apartment #3 on Georgia Street was wonderful. It was quiet, yet close to all of the Broadwalk restaurants and nightlife of Hollywood Beach. The apartment itself was very well stocked with everything you could ever need, and was steps from the beach. Such"
386,"Apartment clean and close to everything. Great amenities and steps from beach. Would definitely recommend!; Apartment clean, furnished, well-equipped kitchen, close to the beach, excellent communication point, a small swimming pool in the area, I would recommend.; Apartment excellent, close to everything. Incredible view. Jonathan was a great host. Very easy check in and check out system. I would definitely stay again at Jonathan's apartment on a future trip."
387,
388,"Apartment home was as described and actually had a new upgraded kitchen area. The home was cozy and very comfortable. Walking distance to the beach, pier, and restaurants and bars. Great location! The host Jennifer was quick to respond before and du"
389,"Apartment inside a hotel along Galt Ocean Mile. Really convenient with its own beach and restaurant at the hotel. Really recommend the tiki bar. Crowds of college students, if that's your thing. Good location. Room was big and enough to house 4, good valu; Apartment is as described. The beach nearby is fine however the best feature is the proximity to some nice restaurants and shops and the overall laid back feel of the community.; Apartment is close to beach- located 5-7 minutes (few short blocks) walking distance to it.Laurie, the manager of the apartment was kind to answer and offer help in minutes (via texts msgs) to all the solvable issues we had during our stay. The apa; Apartment is located close to Federal Highway with plenty of places to eat and shop just a few minutes drive away. Super clean and the pool area is lovely.; Apartment is lovely, view is amazing. Elevators were really slow as the building was very full.; Apartment is stylish with all the modern amenities. TV, Refrigerator, coffee maker and a split AC unit. Check in/check out was quite easy thanks to the modern Passcode lock. Vera was prompt in the communication. We enjoyed our stay, I would definitely rec; Apartment is super clean, we felt at home! Very convenient to all, restaurants, supermarkets pharmacies Etc.... home is suitable for children and our stay was beyond expectations. Also the views are to die for..."
390,"Apartment is well kept and very nice. Plenty of towels and bedding for a group of 4. Very cute apartment and porch area. Its in the quieter part of the Hollywood Boardwalk so no noise complaints or crowds full of people. if we had any questions Ralph was; Apartment located in a nice quiet area. Inside of apartment is very clean and cozy.Everything was fine! Looking forward to visit this place again!Thank you!; Apartment looks even better than pics. Literally, right behind the Publix which is awesome. We would stay again.; Apartment was absolutely beautiful & clean! Location was amazing!; Apartment was clean and as shown on pictures. Lot's of space, drawers and wardrobes. Large rooms. Quiet neighbourhood. Parking is just across the road.No problem in getting in contact iwith the host if anything needed. Service minded, friendly and flexi; Apartment was clean and equipped with everything we needed. The only drawback was not being sure of where exactly to park on the property.; Apartment was clean and looked exactly as pictured and described. Great location in a safe area, close to the beach and enough stores and restaurants. Rei was a great host and took care of any problems immediately."
391,"Apartment was exactly as advertised. The host was great at communication, responded quickly and very helpful. I was sorry I couldn't use the pool due to the weather. Would stay here again.; Apartment was exactly as described in website. Old building but unit was in perfect conditions, clean and very confortable. We stayed for a week with 4 children (ages 20-13) with plenty of space to fit all. Location is great, right on the beach. Big size; Apartment was exactly as described, very clean and welcoming. We had no issues at all!; Apartment was exactly as shown in pictures. We found the apartment to be very clean and had everything needed to make our stay comfortable. Easy access to beach with the BEST view found in the apartment. Chris was very helpful and answered quickly. I w; Apartment was great, exactly the same of pictures in website. Clean and complete. Perfect to people that want to enjoy the beach place. The cond are very quiet and with friendly people.Location is good, just 2 min walk, car park. Very close to the Fort; Apartment was lovely. Great location. Courtyard by the waterway is a great place to lounge around and the beach is 5 min walk.; Apartment was modern and spacious. Resort had 2 pools and both of them had really warm temperature of water. Kids loved it.Beach is at walking distance and nice / quiet comparing to Miami beaches. We stayed in apartment which had 2 different sections."
392,
393,"apartment was quiet and clean and in good location; Apartment was quiet and close to everything I needed. Parking right out front and my neighbors were very nice. Had to reach out to Jaime once for something very minor (battery died in the keyless entry pad). Replaced and cut me a key for backup within an; Apartment was so clean and accurate to the photos! Very homey and close to everything. Would stay here again!!; Apartment was spacious and well equipped (e.g. shampoo, body wash, etc.). It was a short driving distance from Fort Lauderdale beach and other tourist attractions (e.g. Las Olas Blvd). The apartment was very quiet and secluded. Wifi worked very well. Matt; Apartment was very clean and really nice. The owner - Georgy - was awesome and was very quick to reply and extremely helpful. Apartment was spacious and the amenities were great. Beautiful view.The building is very strict in regards to carrying your lugg; Apartment was very cozy and clean. A lot of towels were very convenient for us! Jessica is a great host! I would recommend her to stay.; Apartment's nice, quiet, and comfortable. There was everything what you need. Easy to locate, smooth check-in procedure, parking place. Matthew responds quickly and provides detailed information. Recommended."
