Cliente,Recencia,Frecuencia,Monto,Sexo,GSE,Edad
2590,1,12,37.176,FEM,C3,54
2591,2,4,17.473,MAS,D,54
2592,1,4,14.325,MAS,C3,54
2593,3,2,16.128,MAS,E,53
2594,2,7,32.427,FEM,C3,49
2595,1,2,9.97,FEM,D,55
2596,1,12,35.261,MAS,ABC1,49
2597,1,5,26.02,MAS,C3,55
2598,1,3,4.563,MAS,D,55
2599,3,4,12.666,FEM,C2,47
2600,1,4,5.503,MAS,C3,50
2601,10,1,4.445,MAS,C3,52
2602,2,10,43.178,FEM,C3,55
2603,1,2,2.458,MAS,C3,55
2604,1,4,32.388,FEM,D,54
2605,1,8,15.863,FEM,D,54
2606,1,11,60.912,MAS,D,50
2607,1,9,9.774,FEM,E,53
2608,1,3,20.349,MAS,D,52
2609,1,11,70.405,FEM,C3,52
2610,1,11,19.574,FEM,D,52
2611,2,3,6.336,FEM,C3,50
2612,1,8,25.264,FEM,ABC1,44
2613,1,7,19.221,FEM,D,54
2614,1,12,23.72,MAS,ABC1,48
2615,5,2,11.71,FEM,C3,52
2616,1,4,10.3,MAS,C3,44
2617,7,1,7.496,MAS,D,54
2618,4,3,7.352,MAS,D,53
2619,2,3,51.716,FEM,C3,53
2620,2,9,28.46,MAS,E,52
2621,1,6,10.986,FEM,C3,52
2622,2,7,26.211,MAS,C3,52
2623,1,2,16.765,FEM,E,56
2624,1,5,10.25,FEM,D,57
2625,2,2,18.251,FEM,C3,57
2626,7,1,10.218,FEM,D,55
2627,1,1,5.621,FEM,C3,57
2628,2,8,3.741,FEM,C3,41
2629,1,4,8.427,MAS,C3,55
2630,2,1,14.243,MAS,D,57
2631,1,8,39.978,FEM,C3,52
2632,1,3,11.269,MAS,E,58
2633,3,4,25.139,MAS,C3,55
2634,1,11,23.755,MAS,D,56
2635,1,4,4.205,FEM,C3,56
2636,4,4,13.376,MAS,D,57
2637,1,11,14.881,MAS,C3,58
2638,9,1,7.052,MAS,D,58
2639,2,10,45.454,FEM,C3,56
2640,5,1,25.692,FEM,,59
2641,1,10,29.396,MAS,C2,53
2642,1,8,8.509,FEM,C3,55
2643,1,9,30.557,MAS,ABC1,57
2644,1,7,49.441,MAS,C2,52
2645,5,1,12.588,MAS,C3,55
2646,6,2,7.825,FEM,E,53
2647,1,12,55.103,MAS,C3,51
2648,1,11,25.074,FEM,C3,55
2649,1,10,17.463,FEM,C3,54
2650,5,2,20.615,MAS,ABC1,53
2651,1,2,1.668,FEM,E,51
2652,9,1,15.874,MAS,E,55
2653,6,1,2.882,FEM,D,56
2654,1,4,24.362,MAS,D,52
2655,3,7,6.575,MAS,D,54
2656,1,11,20.302,FEM,E,54
2657,1,10,36.383,FEM,C2,53
2658,1,11,24.731,FEM,D,55
2659,6,2,11.304,FEM,ABC1,54
2660,1,10,19.334,FEM,C3,48
2661,1,5,33.61,FEM,E,54
2662,1,1,14.543,FEM,D,54
2663,1,8,17.653,MAS,C3,48
2664,11,2,13.765,FEM,C3,55
2665,1,8,16.852,MAS,C3,54
2666,1,12,47.053,MAS,C3,50
2667,2,6,8.434,FEM,E,52
2668,3,6,30.518,FEM,ABC1,42
2669,7,4,12.763,FEM,E,54
2670,2,1,15.651,MAS,D,52
2671,2,4,17.939,MAS,C3,53
2672,10,1,11.01,MAS,ABC1,56
2673,1,12,17.78,FEM,C3,54
2674,1,11,23.777,FEM,C3,55
2675,1,1,3.185,FEM,E,55
2676,1,9,4.879,MAS,D,54
2677,1,8,8.967,MAS,C3,54
2678,3,2,2.509,FEM,E,54
2679,1,7,17.541,FEM,C3,51
2680,3,3,7.529,MAS,C3,53
2681,1,6,21.32,FEM,C3,51
2682,2,3,10.674,MAS,C2,52
2683,1,10,35.255,FEM,C2,54
2684,1,6,8.94,MAS,ABC1,51
2685,1,6,16.714,FEM,D,54
2686,1,1,14.052,MAS,D,52
2687,2,4,23.551,FEM,ABC1,51
2689,1,7,18.944,MAS,C3,49
2690,6,3,5.221,MAS,C3,51
2691,1,6,24.881,MAS,E,54
2692,1,6,54.715,FEM,ABC1,64
2693,2,9,43.679,MAS,C3,52
2694,3,2,3.276,FEM,E,52
2695,1,3,21.936,FEM,ABC1,50
2696,1,1,2.916,FEM,D,52
2697,1,4,40.08,FEM,ABC1,41
2698,4,5,8.091,FEM,E,56
2699,1,12,37.218,MAS,C3,56
2700,1,12,44.728,MAS,C3,55
2701,1,8,18.096,FEM,C3,52
2702,1,9,13.958,FEM,D,54
2703,1,6,26.342,MAS,D,58
2704,1,9,12.12,MAS,D,56
2705,1,2,109.715,MAS,C2,54
2706,2,8,18.666,FEM,C3,54
2707,1,11,19.06,FEM,C3,54
2708,4,2,5.513,MAS,C3,56
2709,1,2,10.619,MAS,C3,54
2710,2,4,19.967,MAS,C3,55
2711,1,11,22.941,FEM,C3,55
2712,7,2,33.372,MAS,C3,55
2713,11,2,22.856,FEM,E,57
2714,7,2,15.66,MAS,C2,50
2715,1,11,54.251,MAS,C3,54
2716,1,12,34.169,FEM,C3,52
2717,5,6,13.412,MAS,ABC1,55
2718,1,5,23.374,FEM,ABC1,52
2719,1,11,39.498,FEM,C3,49
2720,1,7,19.477,FEM,ABC1,55
2721,1,4,1.744,MAS,E,55
2722,4,5,27.374,MAS,D,55
2723,1,11,34.057,MAS,E,54
2724,1,4,7.534,MAS,C3,56
2725,1,6,16.528,MAS,D,55
2726,2,3,20.01,FEM,D,55
2727,2,5,8.866,FEM,C3,55
2728,1,8,12.596,MAS,C3,49
2729,3,5,10.637,MAS,C2,50
2730,1,3,6.363,MAS,C3,55
2731,1,9,15.854,FEM,C3,53
2732,1,4,18.874,MAS,E,54
2733,1,6,6.432,MAS,C3,55
2734,9,1,9.826,FEM,C3,54
2735,2,6,17.563,MAS,C3,53
2736,1,6,89.494,MAS,ABC1,54
2737,1,12,20.371,MAS,C3,53
2738,9,3,4.174,FEM,E,56
2740,1,5,33.364,MAS,C3,54
2741,1,1,3.4,MAS,D,54
2742,1,12,25.303,FEM,ABC1,49
2743,1,12,80.98,MAS,C3,51
2744,6,3,12.038,FEM,E,52
2745,2,5,23.942,FEM,C3,56
2746,2,2,5.79,FEM,D,54
2747,2,4,12.94,FEM,D,56
2748,4,4,8.515,FEM,D,56
2749,1,8,2.392,FEM,E,59
2750,1,6,7.352,FEM,D,62
2751,1,10,28.651,MAS,C3,53
2752,10,1,10.076,MAS,E,55
2753,1,10,9.3,FEM,C3,54
2754,1,10,42.974,FEM,C3,50
2755,1,9,17.104,FEM,D,55
2756,6,1,6.109,FEM,E,52
2757,1,12,37.294,MAS,ABC1,53
2758,2,9,27.243,FEM,E,54
2759,1,9,20.954,MAS,ABC1,53
2760,6,3,12.804,FEM,D,55
2761,2,9,33.958,FEM,C3,49
2762,1,6,10.652,MAS,C3,50
2763,1,12,37.861,FEM,C3,53
2764,1,8,7.597,FEM,C3,53
2765,7,3,7.725,FEM,C3,53
2766,9,1,24.445,FEM,D,50
2767,1,1,3.412,FEM,E,53
2768,1,10,18.35,MAS,E,51
2769,1,12,36.79,MAS,D,54
2770,1,5,16.337,FEM,D,53
2771,11,1,7.555,FEM,D,54
2772,3,1,1.882,FEM,C3,54
2773,1,2,15.238,FEM,C3,54
2774,1,6,7.678,FEM,E,54
2775,3,3,18.066,FEM,E,51
2776,1,6,13.836,FEM,E,57
2777,1,4,32.569,FEM,C3,55
2778,1,8,10.342,FEM,E,56
2779,2,2,9.796,MAS,C3,57
2780,3,2,22.436,MAS,C2,52
2781,5,5,12.023,MAS,C3,56
2782,12,1,3.933,FEM,E,57
2783,6,2,26.364,FEM,C2,43
2784,7,1,19.303,MAS,C2,56
2785,6,3,10.118,MAS,C3,51
2786,1,12,37.819,MAS,C3,56
2787,10,1,16.154,FEM,D,57
2788,1,10,15.223,MAS,C3,56
2789,3,2,12.094,FEM,C3,59
2790,3,3,22.916,MAS,D,55
2791,3,3,25.01,FEM,C3,52
2792,2,2,20.711,MAS,C3,53
2793,4,2,7.878,FEM,C3,59
2794,1,7,10.306,FEM,C3,54
2795,1,5,3.091,FEM,E,54
2796,11,1,16.371,FEM,C3,53
2797,4,5,34.364,FEM,C3,56
2798,1,11,25.337,MAS,D,52
2799,3,8,9.423,MAS,C3,53
2800,2,3,6.311,FEM,C3,56
2801,1,12,59.465,MAS,D,53
2802,5,1,4.534,MAS,C3,54
2803,6,2,10.752,MAS,C3,56
2804,2,5,11.481,FEM,C3,42
2805,9,1,23.217,FEM,C3,54
2806,1,12,11.034,FEM,C3,53
2807,1,10,42.682,FEM,C3,56
2808,1,11,49.116,FEM,D,55
2809,1,3,6.123,FEM,E,61
2810,1,10,7.688,FEM,D,43
2811,2,5,14.291,FEM,C3,55
2812,1,6,31.385,FEM,D,39
2813,2,4,21.678,MAS,C3,54
2814,1,6,28.486,FEM,E,57
2815,1,9,22.082,FEM,ABC1,55
2816,3,4,15.945,FEM,D,59
2817,1,10,30.791,FEM,ABC1,51
2818,8,2,3.227,FEM,C2,57
2819,1,3,15.504,FEM,D,55
2820,1,9,14.901,MAS,C3,55
2821,2,4,9.355,FEM,E,55
2822,1,9,111.73,MAS,ABC1,49
2823,1,11,54.624,FEM,E,56
2824,3,3,20.978,FEM,E,56
2825,3,5,24.096,FEM,C3,44
2826,1,1,17.496,MAS,D,18
2827,8,1,6.412,MAS,D,51
2828,4,2,18.997,MAS,C3,53
2829,4,1,6.042,FEM,C3,56
2830,5,2,6.905,FEM,D,56
2831,1,5,8.074,FEM,D,55
2832,2,2,9.225,FEM,E,54
2833,1,8,19.284,FEM,D,50
2834,8,2,10.807,MAS,C2,52
2835,1,8,24.081,MAS,C3,54
2836,2,11,35.252,FEM,C3,54
2837,3,1,16.56,MAS,C3,54
2838,3,5,6.522,MAS,ABC1,54
2839,1,3,29.098,MAS,D,55
2840,1,4,16.666,MAS,C3,52
2841,1,7,21.346,MAS,E,52
2842,2,3,13.967,MAS,D,54
2843,6,4,18.715,MAS,,53
2844,3,3,4.926,FEM,D,55
2845,4,1,20.916,FEM,E,44
2846,1,10,20.305,MAS,C3,54
2847,2,5,11.903,FEM,C3,53
2848,1,1,11.45,MAS,,55
2849,4,4,5.739,FEM,C3,55
2850,1,4,8.404,MAS,E,53
2851,2,4,15.416,FEM,C3,54
2852,9,2,10.143,MAS,C2,49
2853,8,1,6.697,MAS,D,51
2854,2,1,26.655,MAS,D,53
2855,1,9,14.937,FEM,C3,56
2856,1,10,63.828,MAS,C3,47
2857,1,11,47.835,MAS,ABC1,53
2858,4,2,10.963,FEM,D,54
2859,2,6,24.313,FEM,C3,51
2860,1,12,50.214,MAS,C3,54
2861,1,11,58.92,FEM,E,56
2862,1,12,44.911,FEM,C3,42
2863,1,11,1.704,MAS,E,57
2864,1,9,13.358,MAS,ABC1,53
2865,1,8,32.26,MAS,C3,56
2866,1,1,1.55,MAS,D,56
2867,1,1,18.421,MAS,D,54
2868,1,12,41.101,FEM,C3,55
2869,1,11,14.918,FEM,C3,55
2870,1,11,39.165,FEM,ABC1,40
2871,3,2,14.109,MAS,D,55
2872,1,5,14.206,FEM,D,56
2873,1,11,42.846,MAS,C3,53
2874,1,12,99.1,FEM,D,57
2875,1,12,30.797,MAS,E,56
2876,1,7,43.967,MAS,C3,50
2877,1,11,24.977,MAS,D,54
2878,1,5,8.659,MAS,D,55
2879,1,5,16.079,MAS,C3,56
2880,8,2,10.379,MAS,C3,53
2881,2,10,11.146,FEM,D,50
2882,2,11,46.579,MAS,ABC1,52
2883,1,5,13.351,FEM,D,54
2884,1,12,14.544,MAS,C3,55
2885,4,4,20.296,MAS,ABC1,55
2886,1,6,10.484,MAS,D,53
2887,3,3,10.303,FEM,E,52
2888,1,12,96.399,MAS,ABC1,54
2889,1,3,5.811,MAS,C3,52
2890,2,3,21.727,FEM,C3,54
2891,5,2,2.431,MAS,C3,54
2892,1,12,49.579,MAS,C3,56
2893,1,4,31.324,MAS,D,54
2894,1,2,11.836,MAS,D,51
2895,1,11,95.021,MAS,C3,54
2896,1,6,13.478,FEM,E,16
2897,1,4,29.14,FEM,D,59
2898,3,4,4.521,FEM,C3,55
2899,1,5,28.182,FEM,E,55
2900,7,2,20.809,FEM,D,56
2901,2,5,9.763,FEM,D,59
2902,2,3,5.344,FEM,C3,55
2903,4,2,12.21,FEM,E,55
2904,2,5,1.8,FEM,D,57
2905,5,1,15.953,FEM,C3,56
2906,6,1,6.01,MAS,D,54
2907,1,4,12.071,FEM,C2,55
2908,1,6,12.073,MAS,D,54
2909,1,10,34.638,MAS,E,54
2910,1,10,19.109,MAS,C3,54
2911,3,1,1,FEM,C3,49
2912,1,2,22.142,MAS,D,54
2913,5,1,16.487,FEM,C3,53
2914,2,9,12.742,MAS,C3,52
2915,10,1,10.042,MAS,E,53
2916,1,1,12.001,FEM,E,56
2917,1,6,2.082,FEM,C3,53
2918,1,12,50.921,MAS,C2,51
2919,8,1,3.353,FEM,C3,52
2920,1,6,57.247,MAS,C3,53
2921,4,2,7.649,MAS,D,52
2922,1,10,19.824,FEM,E,54
2923,8,4,18.37,MAS,D,54
2924,7,2,16.147,MAS,D,54
2925,2,3,4.761,FEM,D,51
2926,1,1,1.84,MAS,E,52
2927,1,12,9.221,MAS,C3,50
2928,1,7,13.11,MAS,D,54
2929,1,5,8.751,FEM,C3,53
2930,1,5,12.148,FEM,E,56
2931,1,7,13.352,FEM,D,59
2932,3,6,9.197,FEM,E,55
2933,3,3,15.719,FEM,C3,50
2934,2,4,16.26,FEM,ABC1,53
2935,5,5,11.331,FEM,E,57
2936,1,7,16.77,MAS,C3,51
2937,2,4,8.141,MAS,ABC1,54
2938,1,4,12.286,FEM,C3,55
2939,1,7,13.261,FEM,ABC1,53
2940,1,11,35.182,FEM,ABC1,54
2941,2,2,3.744,MAS,D,55
2942,1,2,2.851,MAS,C3,
2943,2,2,11.422,MAS,C3,57
2944,2,6,34.72,MAS,C3,56
2946,4,4,11.14,FEM,D,56
2947,1,4,7.267,FEM,D,46
2948,8,2,4.315,FEM,D,56
2949,1,10,32.118,MAS,D,53
2950,3,4,6.62,FEM,C3,56
2951,2,6,35.884,FEM,ABC1,40
2952,1,4,10.092,FEM,C3,56
2953,2,2,12.495,MAS,C3,41
2954,1,11,33.714,FEM,C3,45
2955,6,3,30.992,MAS,C2,52
2956,2,1,10.807,FEM,D,52
2957,4,2,8.664,MAS,E,55
2958,1,1,8.807,FEM,E,53
2959,2,8,16.763,FEM,D,54
2960,1,12,30.415,FEM,D,56
2961,1,8,23.6,FEM,ABC1,47
2962,1,6,21.263,FEM,E,55
2963,1,10,30.972,MAS,C3,53
2964,1,10,13.52,MAS,C3,54
2965,1,10,35.932,FEM,C2,53
2966,2,9,40.722,FEM,D,55
2967,1,2,6.252,FEM,E,56
2968,1,4,8.68,FEM,D,66
2969,6,1,10.076,FEM,E,56
2970,1,3,9.877,FEM,ABC1,53
2971,1,10,20.847,FEM,E,56
2972,2,5,65.276,FEM,C3,55
2973,2,2,5.3,MAS,D,55
2974,4,4,17.841,FEM,C3,54
2975,1,1,3.676,FEM,C3,57
2976,2,2,3.859,FEM,E,53
2977,5,2,17.248,FEM,D,55
2978,1,2,1.765,FEM,D,54
2979,11,1,19.628,MAS,D,54
2980,1,8,17.203,FEM,E,55
2981,3,8,2.648,FEM,C3,56
2982,1,3,9.511,FEM,,55
2983,2,3,15.71,FEM,C3,54
2984,1,4,21.06,FEM,ABC1,52
2985,2,4,7.914,FEM,E,58
2986,5,3,12.421,MAS,C3,52
2987,5,6,7.054,FEM,C3,54
2988,1,12,58.166,FEM,ABC1,53
2989,2,6,40.961,FEM,C3,53
2990,1,4,9.451,MAS,,55
2991,1,5,34.24,FEM,C3,54
2992,2,9,30.051,MAS,D,51
2993,2,4,21.9,FEM,C3,48
2994,5,1,0.813,FEM,C3,52
2995,1,11,36.422,MAS,C3,53
2996,1,9,8.708,FEM,D,53
2997,1,12,28.988,MAS,C3,50
2998,1,9,12.388,FEM,D,55
2999,8,2,6.862,FEM,E,53
3000,1,12,25.859,MAS,C3,54
3001,1,5,9.702,FEM,E,52
3002,7,1,26.875,MAS,C3,51
3003,5,4,8.221,FEM,D,54
3004,1,3,15.16,MAS,D,54
3005,1,3,21.322,FEM,ABC1,41
3006,4,1,5.034,FEM,C3,56
3007,3,7,48.715,FEM,E,57
3008,1,5,6.23,MAS,D,54
3009,1,5,3.344,MAS,D,56
3010,1,9,16.766,FEM,E,56
3011,9,2,16.23,FEM,C3,57
3012,1,5,19.072,FEM,C3,55
3013,1,6,5.868,MAS,C3,56
3014,1,8,16.322,MAS,C3,56
3015,1,1,3.899,MAS,D,55
3016,5,1,2.345,FEM,D,54
3017,1,5,21.59,FEM,C3,55
3018,1,12,52.379,MAS,D,54
3019,1,12,4.591,MAS,C3,54
3020,4,2,2.324,MAS,,56
3021,1,4,8.555,FEM,C3,55
3022,1,10,26.723,MAS,C3,56
3023,1,12,51.64,MAS,ABC1,56
3024,1,2,6.279,MAS,C3,52
3025,1,5,3.224,MAS,C3,53
3026,1,2,16.224,MAS,C3,53
3027,1,7,6.923,MAS,C3,55
3028,2,5,10.426,MAS,ABC1,53
3029,1,12,14.008,FEM,E,49
3030,2,1,39.866,,C3,
3031,1,5,7.58,MAS,D,55
3032,1,5,22.928,FEM,,57
3033,2,6,26.942,FEM,C3,51
3034,1,1,22.862,MAS,,41
3035,1,7,14.28,FEM,D,54
3036,1,10,30.221,FEM,C3,53
3037,2,4,23.257,FEM,E,55
3038,2,8,50.896,MAS,C3,54
3039,1,5,11.354,FEM,C3,56
3040,2,1,1.985,MAS,C3,55
3041,1,2,16.48,FEM,C3,57
3042,1,5,1.71,MAS,E,54
3043,2,3,6.648,MAS,C2,54
3044,9,1,3.092,MAS,C3,53
3045,1,7,17.976,MAS,D,54
3046,1,12,38.777,FEM,C3,42
3047,1,1,35.072,FEM,C3,55
3048,1,12,39.916,FEM,C3,54
3049,1,8,30.116,FEM,E,54
3050,1,9,97.656,FEM,C2,50
3051,2,1,4.685,FEM,D,52
3052,1,9,35.623,FEM,C3,54
3053,1,10,30.389,FEM,E,51
3054,3,9,18.08,FEM,C3,48
3055,1,5,37.125,MAS,D,41
3056,5,2,23.941,MAS,C3,52
3057,1,12,16.556,FEM,E,39
3058,1,4,7.306,MAS,,56
3059,1,12,25.3,FEM,C3,52
3060,1,10,11.615,MAS,D,52
3061,4,2,8.675,FEM,C3,53
3062,2,8,31.032,MAS,ABC1,52
3063,2,6,14.739,FEM,D,54
3064,1,11,18.654,FEM,D,53
3065,1,11,35.717,FEM,E,53
3066,7,1,4.53,FEM,E,51
3067,1,9,11.745,MAS,C3,54
3068,1,12,47.498,FEM,D,52
3069,1,9,23.497,FEM,E,52
3070,1,10,16.107,MAS,C2,49
3071,9,1,24.151,MAS,C3,52
3072,1,5,7.725,FEM,C3,52
3073,6,5,17.911,FEM,D,37
3074,1,2,9.163,MAS,D,54
3075,7,2,7.635,MAS,D,53
3076,4,2,17.261,MAS,D,53
3077,2,9,16.159,MAS,ABC1,52
3078,1,4,19.794,FEM,C3,53
3079,1,10,19.274,FEM,D,57
3080,2,7,18.227,FEM,C3,57
3081,3,8,14.449,MAS,E,53
3082,4,1,13.643,FEM,C3,53
3083,1,12,66.24,FEM,C3,57
3084,2,7,17.681,FEM,ABC1,56
3085,1,10,32.183,FEM,C3,56
3086,3,4,16.43,MAS,C3,56
3087,1,12,64.013,FEM,C3,55
3088,1,5,19.514,MAS,C3,54
3089,1,5,20.637,FEM,C3,57
3090,9,3,5.874,FEM,E,52
3091,1,5,27.359,FEM,ABC1,58
3092,3,1,9.983,FEM,C3,56
3093,2,10,35.375,FEM,C3,55
3094,1,1,43.847,MAS,D,53
3095,1,1,20,FEM,D,45
3096,2,7,13.905,FEM,C3,43
3097,1,8,20.968,FEM,D,54
3098,1,4,12.934,MAS,C3,52
3099,1,2,24.204,MAS,C3,56
3100,4,4,15.126,MAS,C3,54
3101,1,2,8.999,FEM,C3,57
3102,1,9,11.173,FEM,D,55
3103,2,10,12.343,MAS,D,54
3104,1,6,15.154,FEM,C3,51
3105,2,5,7.462,FEM,D,55
3106,1,2,4.227,MAS,D,50
3107,2,2,26.396,FEM,C3,52
3108,7,4,3.056,FEM,C3,56
3109,1,10,16.503,FEM,D,55
3110,1,12,31.112,FEM,D,55
3111,2,4,8.965,FEM,C3,55
3112,8,3,24.205,FEM,C3,42
3113,2,1,3.134,FEM,E,51
3114,1,1,33.354,MAS,D,55
3115,3,1,15.913,MAS,ABC1,54
3116,1,11,6.8,MAS,C3,52
3118,1,2,5.446,FEM,D,57
3119,1,4,11.584,MAS,C3,50
3120,1,7,13.241,FEM,C3,55
3121,2,8,15.619,FEM,E,54
3122,3,4,2.768,MAS,D,53
3123,1,3,33.594,FEM,C3,52
3124,2,3,8.866,FEM,E,49
3125,5,2,5.478,MAS,C2,51
3126,3,7,20.5,MAS,ABC1,53
3127,2,8,14.108,FEM,D,56
3128,1,12,111.034,MAS,C3,53
3129,2,7,12.494,FEM,C2,55
3130,6,2,17.152,FEM,D,55
3131,1,8,17.336,FEM,D,56
3132,1,4,3.567,MAS,D,49
3133,11,1,5.529,FEM,C2,57
3134,4,5,13.583,MAS,ABC1,49
3135,7,4,23.991,MAS,C3,55
3136,2,7,11.333,FEM,C3,53
3138,1,8,45.958,FEM,E,54
3140,1,7,24.931,,C3,
3141,3,6,26.015,FEM,C3,54
3142,1,9,54.545,MAS,E,50
3143,1,11,17.59,FEM,E,54
3144,1,4,26.688,FEM,C3,50
3145,1,9,47.647,MAS,D,52
3146,2,10,13.155,MAS,ABC1,51
3147,6,2,2.177,FEM,C3,54
3148,1,3,12.485,FEM,C3,54
3149,1,4,6.205,FEM,C3,51
3150,1,5,20.071,FEM,C3,55
3151,1,12,41.7,FEM,C3,50
3152,1,11,40.094,FEM,C3,51
3153,3,1,2.676,FEM,D,54
3154,4,3,17.112,FEM,C3,53
3155,1,4,20.964,FEM,,57
3156,1,3,5.511,MAS,C3,53
3157,4,1,9.957,MAS,E,53
3158,5,5,14.363,FEM,D,40
3159,1,1,5.261,MAS,C3,54
3160,1,10,28.293,MAS,E,55
3161,1,5,17.227,FEM,C3,58
3162,1,12,33.356,FEM,ABC1,51
3163,11,2,12.086,MAS,D,55
3164,1,12,81.316,FEM,ABC1,57
3165,12,1,16.798,FEM,E,56
3166,3,7,45.54,FEM,C3,56
3167,1,9,22.48,FEM,ABC1,46
3168,1,12,87.044,FEM,ABC1,48
3169,3,4,13.309,MAS,C3,55
3170,1,11,25.424,FEM,C3,56
3171,1,5,24.418,MAS,C2,56
3172,4,1,21.603,FEM,C2,56
3173,2,5,22.875,FEM,D,48
3174,3,3,6.025,FEM,C3,62
3175,3,1,5.85,MAS,C3,49
3177,1,11,15.078,FEM,C3,57
3178,12,1,12.756,FEM,C3,56
3179,3,10,44.2,FEM,D,52
3180,1,10,20.24,FEM,ABC1,55
3181,1,12,46.856,MAS,D,54
3182,1,11,26.293,MAS,C3,55
3183,11,1,7.387,FEM,C3,57
3184,2,3,14.277,FEM,D,56
3185,1,2,20.013,MAS,,55
3186,7,1,14.109,MAS,D,55
3187,1,8,29.082,FEM,C3,53
3188,3,9,65.177,MAS,E,53
3189,1,4,23.627,MAS,C2,53
3190,2,10,22.907,MAS,C2,47
3191,2,6,6.536,MAS,D,54
3192,8,2,16.714,FEM,D,55
3193,1,5,16.512,FEM,C2,54
3194,1,12,14.671,FEM,C3,54
3195,2,4,18.226,MAS,ABC1,37
3196,12,1,11.008,FEM,D,53
3197,3,8,24.995,MAS,C3,52
3198,1,12,43.46,MAS,D,53
3199,1,8,57.741,FEM,ABC1,54
3200,1,3,13.311,MAS,C3,54
3201,1,1,28.584,FEM,E,52
3202,2,6,11.191,FEM,C3,53
3203,1,11,13.125,FEM,D,53
3204,1,6,38.699,MAS,ABC1,52
3205,2,6,10.672,MAS,C3,54
3206,1,7,62,MAS,ABC1,50
3207,2,6,8.71,FEM,C3,54
3208,3,1,23.718,FEM,E,57
3209,3,3,15.597,MAS,E,54
3210,2,2,5.008,MAS,C3,53
3211,3,5,8.798,MAS,ABC1,41
3212,2,7,11.761,FEM,C3,54
3213,6,2,10.58,MAS,D,52
3214,1,4,15.416,FEM,C3,54
3215,1,11,27.48,FEM,C3,52
3216,3,1,27.426,MAS,D,53
3217,1,12,75.621,MAS,ABC1,54
3218,1,4,15.764,FEM,D,53
3219,1,1,18.479,FEM,C3,53
3220,4,1,8.454,FEM,E,55
3221,1,5,4.998,MAS,D,55
3222,1,10,21.172,MAS,D,53
3223,2,2,5.442,FEM,E,55
3224,1,6,21.707,FEM,C3,54
3225,1,12,61.435,FEM,ABC1,54
3226,1,2,10.849,MAS,C3,53
3227,1,9,16.949,MAS,C3,53
3228,7,2,5.301,FEM,E,51
3229,1,9,7.173,FEM,D,53
3230,1,11,24.887,MAS,C3,54
3231,3,2,8.783,MAS,D,54
3232,6,2,1.324,MAS,C3,55
3233,1,2,13.644,FEM,C3,55
3234,2,6,12.435,MAS,ABC1,56
3235,1,8,21.323,MAS,C3,52
3236,1,12,20.451,MAS,D,51
3237,1,1,2.474,MAS,D,57
3238,3,5,16.345,MAS,D,53
3239,2,3,7.207,FEM,C3,49
3240,6,1,7.777,MAS,ABC1,52
3241,3,7,12.331,FEM,E,56
3242,4,2,11.609,FEM,C3,55
3243,1,10,17.726,FEM,D,54
3244,1,2,11.684,MAS,C3,54
3245,1,9,31.953,MAS,C3,55
3246,2,2,9.379,FEM,C3,55
3247,1,12,7.858,FEM,E,53
3248,1,4,13.009,FEM,C3,55
3249,11,1,1.168,FEM,E,55
3250,1,2,10.892,FEM,C3,55
3251,1,5,7.221,FEM,E,48
3252,1,12,59.087,FEM,C3,57
3253,2,5,17.471,MAS,D,55
3254,3,1,16.818,FEM,E,59
3255,1,10,21.822,MAS,D,55
3256,1,12,70.269,FEM,C3,54
3257,1,11,14.035,FEM,C3,55
3258,1,11,18.006,FEM,C2,56
3259,1,4,10.063,MAS,C3,55
3260,1,2,2.942,FEM,E,55
3261,6,4,15.935,FEM,C2,59
3262,2,8,18.727,FEM,C3,52
3263,2,5,14.804,FEM,C3,55
3264,1,12,46.427,MAS,D,52
3265,4,2,19.828,MAS,E,52
3266,8,2,8.709,MAS,C3,55
3267,1,11,11.975,MAS,E,54
3268,6,3,12.493,MAS,C3,54
3269,2,4,5.097,FEM,D,54
3270,1,8,10.832,FEM,C3,54
3271,1,4,6.805,FEM,D,55
3272,1,11,28.793,FEM,C3,59
3273,4,2,34.607,MAS,ABC1,59
3274,1,10,37.459,FEM,C3,53
3275,1,2,15.35,FEM,D,57
3276,3,3,5.784,FEM,ABC1,61
3277,4,5,11.478,MAS,C3,50
3278,7,2,7.116,MAS,D,60
3279,1,6,6.014,MAS,D,62
3280,8,2,8.37,FEM,D,61
3281,2,5,2.484,FEM,C3,60
3282,3,3,8.905,FEM,C3,53
3283,5,3,37.664,FEM,E,56
3284,3,7,11.765,MAS,E,59
3285,1,2,16.612,FEM,C3,58
3286,1,3,15.996,FEM,D,59
3287,1,3,3.074,FEM,C3,54
3288,2,11,28.119,FEM,C3,54
3289,1,10,64.095,MAS,C3,59
3290,1,4,15.809,FEM,D,56
3291,4,1,3.758,MAS,D,50
3292,1,11,17.37,FEM,C2,52
3293,2,3,12.328,MAS,E,55
3294,1,5,26.758,FEM,C3,67
3295,1,6,13.031,MAS,D,57
3296,1,3,29.645,FEM,D,58
3297,3,2,25.369,FEM,ABC1,52
3298,6,1,61.525,FEM,D,59
3299,2,4,7.348,FEM,C2,54
3300,1,3,34.98,MAS,ABC1,57
3301,1,1,4.046,FEM,C3,58
3302,1,10,28.986,FEM,D,58
3303,6,3,18.154,MAS,ABC1,45
3304,2,10,17.152,FEM,D,59
